label,data
3300,3950
3300,4002
3300,3757
3300,3827
3300,3645
3300,3689
3300,4002
3300,3925
3300,3623
3300,3689
3300,3780
3300,3734
3300,3645
3300,3645
3300,3645
3300,3827
3300,3803
3300,3875
3300,3645
3300,3900
3300,3689
3300,3950
3300,4194
3300,3780
3300,3803
3300,3827
3300,3581
3300,3757
3300,3875
3300,3803
3300,3950
3300,3734
3300,3875
3300,3757
3300,3827
3300,3851
3300,3602
3300,3827
3300,3851
3300,3689
3300,3711
3300,3623
3300,3734
3300,3875
3300,3827
3300,3827
3300,3734
3300,3780
3300,3875
3300,3827
3300,3780
3300,3827
3300,3734
3300,3734
3300,3689
3300,3803
3300,3734
3300,3803
3300,3780
3300,3734
3300,3757
3300,3667
3300,3667
3300,3602
3300,3757
3300,3667
3300,3757
3300,3875
3300,3925
3300,3711
3300,3667
3300,3780
3300,3757
3300,3875
3300,3539
3300,3689
3300,3623
3300,3780
3300,3803
3300,3780
3300,3803
3300,3667
3300,3900
3300,3851
3300,3827
3300,3757
3300,3827
3300,3734
3300,3780
3300,3623
3300,3711
3300,3803
3300,3827
3300,3757
3300,3803
3300,3667
3300,3803
