label,data
3000,3346
3000,3310
3000,3479
3000,3346
3000,3479
3000,3364
3000,3346
3000,3364
3000,3346
3000,3274
3000,3346
3000,3459
3000,3560
3000,3364
3000,3421
3000,3383
3000,3292
3000,3479
3000,3383
3000,3328
3000,3328
3000,3328
3000,3402
3000,3346
3000,3292
3000,3499
3000,3440
3000,3440
3000,3328
3000,3328
3000,3667
3000,3499
3000,3223
3000,3421
3000,3346
3000,3519
3000,3479
3000,3383
3000,3364
3000,3328
3000,3421
3000,3440
3000,3402
3000,3328
3000,3479
3000,3364
3000,3440
3000,3402
3000,3421
3000,3440
3000,3274
3000,3402
3000,3499
3000,3519
3000,3875
3000,3499
3000,3459
3000,3364
3000,3479
3000,3364
3000,3623
3000,3402
3000,3346
3000,3440
3000,3383
3000,3383
3000,3328
3000,3479
3000,3421
3000,3328
3000,3440
3000,3421
3000,3479
3000,3560
3000,3560
3000,3499
3000,3383
3000,3459
3000,3479
3000,3539
3000,3479
3000,3402
3000,3499
3000,3421
3000,3440
3000,3421
3000,3402
3000,3402
3000,3346
3000,3364
3000,3440
3000,3459
3000,3421
3000,3479
3000,3459
3000,3539
3000,3383
3000,3421
3000,3519
3000,3383
3000,3440
3000,3402
3000,3346
3000,3479
3000,3364
3000,3346
3000,3440
3000,3499
3000,3402
3000,3402
3000,3440
3000,3364
3000,3459
3000,3383
3000,3440
3000,3328
3000,3364
3000,3421
3000,3499
3000,3402
3000,3560
3000,3421
3000,3383
3000,3364
3000,3402
3000,3499
3000,3364
3000,3539
3000,3421
3000,3459
3000,3402
3000,3383
3000,3459
3000,3383
3000,3519
3000,3402
3000,3346
3000,3479
3000,3421
3000,3364
3000,3459
3000,3440
3000,3421
3000,3402
3000,3346
3000,3479
3000,3346
3000,3292
3000,3383
3000,3440
3000,3459
3000,3346
3000,3421
3000,3421
3000,3364
3000,3328
3000,3402
3000,3440
3000,3499
3000,3421
3000,3479
3000,3421
3000,3539
3000,3383
3000,3421
3000,3421
3000,3383
3000,3519
3000,3328
3000,3292
3000,3292
3000,3459
3000,3346
3000,3479
3000,3383
3000,3479
3000,3421
3000,3402
3000,3402
3000,3383
3000,3383
3000,3440
3000,3402
3000,3328
3000,3402
3000,3292
3000,3346
3000,3421
3000,3346
3000,3346
3000,3459
3000,3421
3000,3402
3000,3479
3000,3440
3000,3310
3000,3459
3000,3364
3000,3440
3000,3459
3000,3328
3000,3421
3000,3499
3000,3479
3000,3364
3000,3383
3000,3421
3000,3440
3000,3459
3000,3479
3000,3364
3000,3479
3000,3364
3000,3383
3000,3364
3000,3346
3000,3346
3000,3364
3000,3539
3000,3421
3000,3479
3000,3364
3000,3364
3000,3459
3000,3274
3000,3519
3000,3364
3000,3346
3000,3364
3000,3402
3000,3383
3000,3383
3000,3346
3000,3421
3000,3346
3000,3440
3000,3479
3000,3346
3000,3383
3000,3383
3000,3346
3000,3346
3000,3364
3000,3346
3000,3328
3000,3383
3000,3459
3000,3581
3000,3402
3000,3328
3000,3346
3000,3421
3000,3440
3000,3402
3000,3402
3000,3328
3000,3292
3000,3440
3000,3623
3000,3402
3000,3459
3000,3402
3000,3421
3000,3346
3000,3383
3000,3499
3000,3421
3000,3383
3000,3364
3000,3581
3000,3383
3000,3402
3000,3364
3000,3402
3000,3440
3000,3440
3000,3310
3000,3383
3000,3402
3000,3421
3000,3479
3000,3459
3000,3383
3000,3421
3000,3364
3000,3364
3000,3402
3000,3364
3000,3346
3000,3402
3000,3328
3000,3479
3000,3440
3000,3383
3000,3328
3000,3310
3000,3499
3000,3459
3000,3402
3000,3440
3000,3346
3000,3421
3000,3479
3000,3383
3000,3364
3000,3346
3000,3383
3000,3479
3000,3364
3000,3383
3000,3310
3000,3364
3000,3364
3000,3402
3000,3346
3000,3364
3000,3459
3000,3346
3000,3440
3000,3328
3000,3346
3000,3383
3000,3402
3000,3459
3000,3479
3000,3383
3000,3479
3000,3440
3000,3440
3000,3328
3000,3328
3000,3383
3000,3440
3000,3479
3000,3310
3000,3328
3000,3402
3000,3383
