label,data
1800,1932
1800,1908
1800,1908
1800,1908
1800,1932
1800,1932
1800,1926
1800,1926
1800,1902
1800,1908
1800,1932
1800,1919
1800,1913
1800,1884
1800,1932
1800,1908
1800,1932
1800,1938
1800,1896
1800,1896
1800,1913
1800,1919
1800,1913
1800,1926
1800,1913
1800,1913
1800,1932
1800,1932
1800,1963
1800,1902
1800,1913
1800,1938
1800,1919
1800,1926
1800,1926
1800,1908
1800,1919
1800,1878
1800,1902
1800,1919
1800,1913
1800,1932
1800,1919
1800,1908
1800,1908
1800,1932
1800,1908
1800,1908
1800,1913
1800,1919
1800,1908
1800,1919
1800,1913
1800,1926
1800,1902
1800,1913
1800,1896
1800,1926
1800,1938
1800,1932
1800,1913
1800,1919
1800,1913
1800,1884
1800,1913
1800,1890
1800,1926
1800,1902
1800,1908
1800,1913
1800,1919
1800,1896
1800,1919
1800,1908
1800,1926
1800,1938
1800,1919
1800,1919
1800,1926
1800,1938
1800,1950
1800,1926
1800,1890
1800,1884
1800,1919
1800,1950
1800,1938
1800,1908
1800,1902
1800,1938
1800,1908
1800,1913
1800,1944
1800,1908
1800,1932
1800,1896
1800,1926
1800,1913
1800,1913
1800,1919
1800,1908
1800,1908
1800,1919
1800,1926
1800,1919
1800,1908
1800,1902
1800,1919
1800,1884
1800,1913
1800,1913
1800,1932
1800,1908
1800,1908
1800,1932
1800,1919
1800,1932
1800,1896
1800,1913
1800,1926
1800,1896
1800,1896
1800,1919
1800,1932
1800,1919
1800,1926
1800,1932
1800,1890
1800,1902
1800,1873
1800,1913
1800,1913
1800,1902
1800,1926
1800,1913
1800,1944
1800,1932
1800,1919
1800,1908
1800,1896
1800,1926
1800,1926
1800,1926
1800,1902
1800,1932
1800,1908
1800,1926
1800,1913
1800,1919
1800,1902
1800,1896
1800,1908
1800,1926
1800,1896
1800,1896
1800,1890
1800,1919
1800,1896
1800,1932
1800,1913
1800,1896
1800,1908
1800,1902
1800,1896
1800,1884
1800,1919
1800,1902
1800,1919
1800,1919
1800,1902
1800,1902
1800,1908
1800,1896
1800,1896
1800,1902
1800,1896
1800,1902
1800,1902
1800,1884
1800,1902
1800,1896
1800,1908
1800,1908
1800,1878
1800,1878
1800,1908
1800,1913
1800,1913
1800,1890
1800,1890
1800,1890
1800,1890
1800,1908
1800,1908
1800,1884
1800,1884
1800,1902
1800,1902
1800,1919
1800,1919
1800,1908
1800,1908
1800,1884
1800,1884
1800,1919
