label,data
600,618
600,615
600,616
600,617
600,616
600,616
600,616
600,615
600,615
600,618
600,617
600,614
600,616
600,616
600,618
600,619
600,615
600,616
600,617
600,616
600,617
600,618
600,617
600,615
600,616
600,615
600,616
600,615
600,618
600,614
600,616
600,614
600,617
600,616
600,616
600,615
600,617
600,615
600,617
600,617
600,615
600,617
600,614
600,616
600,616
600,617
600,617
600,616
600,614
600,617
600,618
600,617
600,618
600,616
600,615
600,616
600,617
600,614
600,615
600,616
600,614
600,615
600,614
600,616
600,617
600,615
600,616
600,617
600,615
600,615
600,617
600,615
600,617
600,615
600,615
600,615
600,615
600,615
600,614
600,617
600,615
600,615
600,617
600,615
600,616
600,616
600,618
600,617
600,616
600,617
600,617
600,617
600,615
600,616
600,616
600,615
600,614
600,615
600,615
600,615
600,615
600,617
600,617
600,615
600,616
600,616
600,617
600,617
600,614
600,617
600,615
600,617
600,615
600,617
600,616
600,614
600,617
600,617
600,616
600,615
600,616
600,615
600,615
600,615
600,616
600,617
600,615
600,615
600,617
600,615
600,615
600,618
600,614
600,617
600,615
600,617
600,616
600,618
600,616
600,615
600,614
600,615
600,617
600,615
600,618
600,617
600,615
600,615
600,616
600,617
600,616
600,617
600,615
600,616
600,615
600,615
600,616
600,617
600,617
600,615
600,615
600,617
600,617
600,617
600,615
600,615
600,615
600,618
600,616
600,615
600,615
600,618
600,617
600,617
600,617
600,616
600,616
600,614
600,614
600,615
600,618
600,615
600,614
600,616
600,618
600,615
600,616
600,615
600,618
600,615
600,618
600,615
600,614
600,617
600,617
600,615
600,616
600,615
600,615
600,614
600,618
600,615
600,617
600,617
600,615
600,616
600,615
600,615
600,617
600,614
600,616
600,615
600,616
600,614
600,615
600,615
600,616
600,614
600,618
600,617
600,616
600,617
600,614
600,614
600,613
600,615
600,619
600,617
600,618
600,618
600,615
600,617
600,618
600,616
600,614
600,618
600,618
600,617
600,617
600,616
600,613
600,616
600,614
600,621
600,619
600,618
600,617
600,617
600,615
600,614
600,618
600,615
600,620
600,616
600,616
600,615
600,617
600,615
600,615
600,620
600,614
600,618
600,620
600,615
600,612
600,615
600,616
600,617
600,617
600,616
600,617
600,617
600,614
600,615
600,615
600,615
600,617
600,615
600,614
600,615
600,614
600,616
600,614
600,614
600,616
600,619
600,614
600,615
600,614
600,614
600,617
600,614
600,615
600,615
600,618
600,616
600,617
600,614
600,616
600,618
600,618
600,619
600,616
600,617
600,615
600,619
600,615
600,616
600,617
600,616
600,620
600,616
600,616
600,613
600,617
600,615
600,614
600,617
600,615
600,614
600,615
600,617
600,615
600,614
600,615
600,615
600,615
600,617
600,615
600,615
600,618
600,616
600,615
600,617
600,614
600,614
600,615
600,614
600,612
600,614
600,618
600,617
600,615
600,618
600,615
600,617
600,611
600,618
600,615
600,614
600,616
600,615
600,612
600,614
600,614
600,618
600,616
600,616
600,617
600,618
600,615
600,618
600,616
600,615
600,614
600,614
600,617
600,615
600,617
600,617
600,615
600,614
600,616
600,617
600,615
600,615
600,617
600,615
600,616
600,615
600,616
600,614
600,612
600,615
600,617
600,618
600,615
600,616
600,614
600,620
600,618
600,617
600,616
600,617
600,620
600,615
600,622
600,613
600,620
600,617
600,618
600,620
600,619
600,618
600,616
600,615
600,615
600,618
600,613
600,616
600,618
600,614
600,615
600,614
600,618
600,616
600,617
600,618
600,614
600,615
600,617
600,618
600,617
600,614
600,618
600,619
600,615
600,620
600,615
600,617
600,616
600,614
600,617
600,615
600,614
600,616
600,615
600,615
600,617
600,614
600,616
600,617
600,614
600,615
600,620
600,616
600,615
600,617
600,614
600,615
600,617
600,614
600,614
600,615
600,613
600,615
600,617
600,614
600,617
600,615
600,617
600,614
600,615
600,618
600,618
600,617
600,616
600,615
600,615
600,615
600,617
600,615
600,617
600,617
600,615
600,617
600,614
600,615
600,617
600,616
600,614
600,616
600,616
600,614
600,617
600,615
600,615
600,615
600,615
600,615
600,615
600,614
600,615
600,615
600,615
600,614
600,617
600,614
600,617
600,614
600,616
600,618
600,618
600,616
600,619
600,617
600,616
600,616
600,615
600,617
600,616
600,615
600,616
600,618
600,617
600,615
600,616
600,615
600,615
600,616
600,617
600,616
600,618
600,617
600,616
600,615
600,615
600,615
600,616
600,618
600,616
600,615
600,617
600,615
600,618
600,618
600,616
600,617
600,615
600,617
600,616
600,615
600,615
600,615
600,616
600,617
600,618
600,614
600,616
600,618
600,616
600,617
600,619
600,615
600,615
600,615
600,616
600,615
600,615
600,615
600,618
600,617
600,616
600,619
600,615
600,617
600,616
600,616
600,616
600,618
600,617
600,618
600,615
600,615
600,615
600,617
600,615
600,617
600,616
600,616
600,615
600,615
600,618
600,617
600,616
600,616
600,617
600,615
600,617
600,615
600,617
600,617
600,617
600,616
600,615
600,616
600,615
600,617
600,615
600,615
600,614
600,615
600,616
600,617
600,613
600,618
600,615
600,615
600,618
600,617
600,617
600,617
600,615
600,617
600,615
600,617
600,616
600,617
600,615
600,616
600,615
600,615
600,615
600,615
600,618
600,617
600,615
600,615
600,615
600,615
600,615
600,615
600,615
600,615
600,616
600,615
600,618
600,615
600,615
600,618
600,617
600,615
600,615
600,614
600,617
600,617
600,617
600,614
600,615
600,615
600,617
600,618
600,615
600,617
600,613
600,617
600,618
600,619
600,614
600,618
600,614
600,620
600,617
600,615
600,617
600,617
600,616
600,617
600,614
600,618
600,615
600,615
600,617
600,615
600,614
600,616
600,620
600,618
600,616
600,616
600,617
600,617
600,615
600,615
600,618
600,615
600,615
600,612
600,618
600,620
600,616
600,615
600,614
600,617
600,615
600,616
600,620
600,615
600,617
600,616
600,615
600,617
600,617
600,618
600,614
600,618
600,621
600,617
600,615
600,615
600,614
600,614
600,615
600,614
600,615
600,615
600,618
600,619
600,615
600,618
600,612
600,615
600,615
600,615
600,614
600,613
600,618
600,614
600,621
600,618
600,614
600,617
600,617
600,616
600,617
600,618
600,613
600,619
600,614
600,615
600,614
600,614
600,615
600,616
600,613
600,616
600,615
600,614
600,612
600,617
600,615
600,618
600,614
600,615
600,616
600,617
600,614
600,614
600,616
600,616
600,618
600,617
600,617
600,616
600,614
600,617
600,618
600,619
600,614
600,615
600,615
600,615
600,615
600,615
600,616
600,620
600,613
600,615
600,614
600,613
600,615
600,618
600,613
600,614
600,616
600,616
600,620
600,614
600,617
600,615
600,617
600,618
600,617
600,620
600,616
600,612
600,614
600,617
600,615
600,617
600,617
600,616
600,618
600,614
600,615
600,614
600,614
600,615
600,615
600,615
600,616
600,615
600,614
600,618
600,614
600,615
600,617
600,619
600,614
600,617
600,616
600,613
600,617
600,611
600,615
600,615
600,614
600,614
600,615
600,615
600,615
600,612
600,615
600,617
600,618
600,616
600,612
600,617
600,617
600,616
600,614
600,618
600,616
600,615
600,617
600,614
600,617
600,616
600,617
600,614
600,614
600,618
600,617
600,614
600,615
600,617
600,615
600,617
600,618
600,614
600,616
600,615
600,614
600,618
600,617
600,616
600,615
600,619
600,614
600,617
600,620
600,613
600,616
600,616
600,612
600,613
600,614
600,616
600,617
600,616
600,620
600,616
600,617
600,617
600,618
600,619
600,616
600,616
600,615
600,616
600,617
600,615
600,617
600,618
600,617
600,618
600,615
600,617
600,620
600,615
600,618
600,615
600,615
600,615
600,618
600,614
600,617
600,618
600,616
600,613
600,615
600,614
600,621
600,615
600,616
600,615
600,614
600,620
600,620
600,617
600,617
600,616
600,615
600,617
600,615
600,618
600,618
600,615
600,615
600,620
600,618
600,618
600,616
600,616
600,618
600,614
600,615
600,616
600,615
600,617
600,617
600,617
600,615
600,615
600,615
600,614
600,620
600,615
600,616
600,614
600,618
600,612
600,616
600,615
600,616
600,615
600,615
600,615
600,617
600,615
600,617
600,615
600,614
600,615
600,617
600,616
600,614
600,616
600,614
600,616
600,616
600,618
600,613
600,617
600,620
600,614
600,618
600,614
600,615
600,618
600,618
600,616
600,615
600,615
600,615
600,617
600,614
600,616
600,616
600,615
600,615
600,617
600,616
600,615
600,615
600,615
600,617
600,614
600,617
600,615
